host_is_superhost,cancellation_policy,instant_bookable,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price,cluster
t,moderate,t,1,Western Addition,37.76931,-122.43386000000001,Apartment,Entire home/apt,3,1,1,2,Real Bed,1,180,97.0,10.0,10.0,10.0,10.0,10.0,10.0,170.0,1
f,strict_14_with_grace_period,f,2,Bernal Heights,37.74511,-122.42102,Apartment,Entire home/apt,5,1,2,3,Real Bed,30,111,98.0,10.0,10.0,10.0,10.0,10.0,9.0,235.0,1
f,strict_14_with_grace_period,f,10,Haight Ashbury,37.76487,-122.45183,Apartment,Private room,2,4,1,1,Real Bed,32,8,93.0,9.0,9.0,10.0,10.0,9.0,9.0,65.0,1
f,strict_14_with_grace_period,f,2,Western Addition,37.77525,-122.43637,House,Entire home/apt,5,1,2,2,Real Bed,7,27,97.0,10.0,10.0,10.0,10.0,10.0,9.0,785.0,1
f,moderate,f,1,Western Addition,37.78471,-122.44555,Apartment,Entire home/apt,6,1,2,3,Real Bed,2,31,90.0,9.0,8.0,10.0,10.0,9.0,9.0,255.0,1
t,strict_14_with_grace_period,t,2,Mission,37.759190000000004,-122.42237,Condominium,Private room,3,1,1,2,Real Bed,1,647,98.0,10.0,10.0,10.0,10.0,10.0,10.0,139.0,1
f,strict_14_with_grace_period,f,1,Potrero Hill,37.76259,-122.40543000000001,House,Private room,2,1,1,1,Real Bed,1,453,94.0,10.0,10.0,10.0,10.0,10.0,10.0,135.0,1
t,moderate,f,1,Mission,37.75874,-122.41327,Apartment,Entire home/apt,6,1,2,3,Real Bed,3,320,96.0,10.0,10.0,10.0,10.0,10.0,9.0,265.0,1
f,strict_14_with_grace_period,f,44,Haight Ashbury,37.77187,-122.43858999999999,Apartment,Entire home/apt,3,1,3,3,Real Bed,30,37,89.0,9.0,9.0,10.0,9.0,9.0,9.0,177.0,0
f,strict_14_with_grace_period,f,44,Western Addition,37.77355,-122.42436000000001,Apartment,Entire home/apt,5,2,3,3,Real Bed,30,14,91.0,10.0,10.0,10.0,9.0,10.0,9.0,194.0,1
f,strict_14_with_grace_period,f,44,Downtown/Civic Center,37.785740000000004,-122.40798000000001,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,19,92.0,10.0,9.0,10.0,10.0,10.0,9.0,139.0,1
f,strict_14_with_grace_period,f,10,Haight Ashbury,37.77019,-122.44594,Apartment,Private room,2,4,1,2,Real Bed,32,6,80.0,9.0,8.0,9.0,10.0,9.0,7.0,85.0,0
f,strict_14_with_grace_period,f,10,Haight Ashbury,37.76894,-122.44778000000001,Apartment,Private room,2,3,1,2,Real Bed,32,5,64.0,6.0,6.0,10.0,9.0,9.0,8.0,85.0,0
t,strict_14_with_grace_period,t,1,Castro/Upper Market,37.76075,-122.43032,Apartment,Private room,1,1,1,1,Real Bed,3,390,98.0,10.0,10.0,10.0,10.0,10.0,10.0,79.0,1
t,strict_14_with_grace_period,f,2,Inner Sunset,37.762029999999996,-122.45455,Townhouse,Entire home/apt,3,1,2,3,Real Bed,30,16,95.0,9.0,9.0,9.0,9.0,9.0,9.0,136.0,0
f,moderate,f,1,Mission,37.754909999999995,-122.42246000000002,Apartment,Entire home/apt,3,1,1,2,Real Bed,3,103,97.0,10.0,9.0,10.0,10.0,10.0,10.0,215.0,1
f,strict_14_with_grace_period,f,3,South of Market,37.78647,-122.39072,Condominium,Entire home/apt,4,2,2,2,Real Bed,90,14,96.0,10.0,10.0,10.0,10.0,10.0,9.0,450.0,1
t,strict_14_with_grace_period,f,1,Noe Valley,37.74888,-122.42981999999999,Apartment,Entire home/apt,3,1,0,1,Real Bed,30,61,96.0,10.0,10.0,10.0,10.0,10.0,10.0,107.0,1
t,strict_14_with_grace_period,f,3,Western Addition,37.77252,-122.43216000000001,Townhouse,Private room,2,1,1,1,Real Bed,2,363,97.0,10.0,10.0,10.0,10.0,10.0,10.0,110.0,1
t,moderate,f,1,Mission,37.763490000000004,-122.41516999999999,Guest suite,Entire home/apt,2,1,0,1,Real Bed,5,227,96.0,10.0,10.0,10.0,10.0,9.0,9.0,198.0,1
t,moderate,f,1,Nob Hill,3.77958,-122.41533000000001,Loft,Entire home/apt,2,1,1,1,Real Bed,30,119,98.0,10.0,10.0,10.0,10.0,10.0,10.0,125.0,1
f,strict_14_with_grace_period,f,10,Haight Ashbury,3.7764800000000003,-122.45251,Apartment,Private room,2,4,1,1,Real Bed,32,14,78.0,8.0,8.0,10.0,10.0,10.0,7.0,65.0,0
t,strict_14_with_grace_period,t,2,Bernal Heights,37.74556,-122.41207,Condominium,Private room,1,1,1,1,Real Bed,3,234,98.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,1
t,strict_14_with_grace_period,f,1,Castro/Upper Market,37.75963,-122.44143000000001,House,Entire home/apt,2,1,1,1,Real Bed,3,353,97.0,10.0,10.0,10.0,10.0,10.0,10.0,155.0,1
t,strict_14_with_grace_period,f,2,Mission,37.751459999999994,-122.41248,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,67,96.0,10.0,10.0,10.0,10.0,9.0,9.0,95.0,1
t,moderate,f,1,Noe Valley,37.74885,-122.43673000000001,Apartment,Entire home/apt,3,1,1,2,Real Bed,3,218,92.0,9.0,9.0,10.0,10.0,10.0,9.0,180.0,1
t,flexible,f,1,Haight Ashbury,37.77162,-122.43836,Apartment,Private room,1,1,1,1,Real Bed,1,184,96.0,10.0,9.0,10.0,10.0,10.0,9.0,79.0,1
t,moderate,t,2,Western Addition,37.78716,-122.43386000000001,Guest suite,Entire home/apt,4,1,1,2,Real Bed,5,281,95.0,10.0,10.0,10.0,10.0,10.0,10.0,195.0,1
t,moderate,f,1,Noe Valley,37.74188,-122.43122,House,Private room,2,1,1,1,Real Bed,5,24,100.0,10.0,10.0,10.0,10.0,10.0,10.0,150.0,1
t,strict_14_with_grace_period,f,3,Western Addition,37.77729,-122.43421000000001,Townhouse,Private room,2,1,1,1,Real Bed,2,399,98.0,10.0,10.0,10.0,10.0,10.0,9.0,110.0,1
t,moderate,f,1,Potrero Hill,37.76212,-122.39541000000001,House,Private room,3,1,0,1,Real Bed,4,298,95.0,10.0,10.0,10.0,10.0,10.0,10.0,125.0,1
t,strict_14_with_grace_period,f,3,Western Addition,37.78895,-122.43031,House,Private room,2,1,1,1,Real Bed,2,76,92.0,10.0,9.0,10.0,10.0,10.0,9.0,110.0,1
f,moderate,f,1,Castro/Upper Market,37.76298,-122.43136000000001,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,129,100.0,10.0,10.0,10.0,10.0,10.0,10.0,165.0,1
t,strict_14_with_grace_period,t,2,Mission,37.760979999999996,-122.42158,Condominium,Private room,4,1,1,2,Real Bed,1,25,96.0,10.0,10.0,10.0,10.0,10.0,9.0,199.0,1
t,strict_14_with_grace_period,f,3,Bernal Heights,37.73729,-122.41163,House,Entire home/apt,4,2,2,2,Real Bed,7,13,97.0,10.0,10.0,10.0,10.0,9.0,10.0,220.0,1
f,flexible,f,1,Outer Richmond,37.779309999999995,-122.50518000000001,Apartment,Entire home/apt,4,1,1,2,Real Bed,2,37,99.0,10.0,10.0,10.0,10.0,10.0,10.0,155.0,1
t,moderate,f,6,Presidio Heights,37.78197,-122.45808999999998,House,Private room,2,1,1,1,Real Bed,2,197,96.0,10.0,10.0,10.0,10.0,10.0,10.0,119.0,1
f,super_strict_30,f,35,Noe Valley,3.77483,-122.42488,Guest suite,Entire home/apt,2,1,1,2,Real Bed,30,20,96.0,9.0,10.0,10.0,10.0,10.0,9.0,107.0,1
f,moderate,f,2,Bernal Heights,37.74093,-122.42055,Apartment,Entire home/apt,2,1,0,1,Real Bed,30,21,98.0,10.0,10.0,10.0,10.0,10.0,9.0,100.0,1
t,strict_14_with_grace_period,t,6,Mission,37.76016,-122.41968999999999,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,96,92.0,10.0,10.0,10.0,10.0,9.0,9.0,108.0,1
f,moderate,f,1,Presidio Heights,37.78255,-122.44843999999999,Apartment,Private room,2,1,1,1,Real Bed,30,136,96.0,10.0,9.0,10.0,10.0,10.0,9.0,83.0,1
f,flexible,f,4,Castro/Upper Market,37.76125,-122.43335,House,Entire home/apt,3,1,1,1,Real Bed,4,43,94.0,10.0,9.0,10.0,10.0,10.0,10.0,159.0,1
t,moderate,f,1,Bernal Heights,37.740829999999995,-122.41763,House,Private room,2,2,1,1,Real Bed,3,225,98.0,10.0,10.0,10.0,10.0,10.0,10.0,129.0,1
t,moderate,f,1,Mission,37.75611,-122.41866,Apartment,Entire home/apt,4,1,2,2,Real Bed,1,76,96.0,10.0,10.0,10.0,10.0,9.0,9.0,290.0,1
f,moderate,f,1,Glen Park,37.73557,-122.43302,House,Entire home/apt,3,1,0,2,Real Bed,30,146,89.0,9.0,8.0,9.0,9.0,9.0,9.0,126.0,0
t,strict_14_with_grace_period,t,1,Nob Hill,37.790009999999995,-122.41292,Condominium,Entire home/apt,3,1,1,1,Real Bed,30,13,98.0,10.0,10.0,10.0,10.0,10.0,10.0,170.0,1
f,super_strict_30,f,35,Bernal Heights,37.73356,-122.41851000000001,Apartment,Entire home/apt,2,1,0,2,Real Bed,30,6,93.0,10.0,10.0,10.0,10.0,10.0,10.0,85.0,1
f,super_strict_30,f,35,Bernal Heights,37.73404,-122.41781,House,Entire home/apt,2,1,1,2,Real Bed,30,4,87.0,9.0,8.0,10.0,10.0,8.0,7.0,85.0,0
f,moderate,f,1,Mission,37.75117,-122.41326000000001,Apartment,Entire home/apt,2,1,1,1,Futon,30,10,90.0,9.0,9.0,10.0,10.0,10.0,9.0,91.0,1
f,super_strict_30,f,35,Potrero Hill,37.75447,-122.38813,Guest suite,Entire home/apt,3,1,2,2,Real Bed,30,2,80.0,5.0,8.0,10.0,8.0,7.0,8.0,150.0,0
f,super_strict_30,f,35,Haight Ashbury,37.77272,-122.44084,Guest suite,Entire home/apt,3,1,2,2,Real Bed,30,8,56.0,8.0,7.0,8.0,7.0,7.0,7.0,120.0,0
t,strict_14_with_grace_period,f,2,Mission,37.75145,-122.41207,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,280,97.0,10.0,10.0,10.0,10.0,10.0,10.0,95.0,1
f,strict_14_with_grace_period,f,2,Mission,37.75121,-122.42165,Apartment,Entire home/apt,4,1,1,2,Real Bed,31,3,100.0,10.0,10.0,10.0,10.0,10.0,10.0,175.0,1
f,moderate,f,4,Castro/Upper Market,37.76068,-122.43331,Apartment,Entire home/apt,2,1,0,2,Real Bed,3,121,94.0,10.0,9.0,10.0,10.0,10.0,9.0,116.0,1
t,moderate,t,3,Western Addition,37.77248,-122.43016000000001,House,Private room,2,3,1,1,Real Bed,2,96,95.0,10.0,10.0,10.0,10.0,10.0,10.0,125.0,1
t,strict_14_with_grace_period,f,1,Ocean View,37.725359999999995,-122.46861000000001,House,Entire home/apt,2,1,1,1,Real Bed,30,29,97.0,10.0,10.0,10.0,10.0,9.0,10.0,78.0,1
t,moderate,f,9,Pacific Heights,3.77925,-122.42431,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,25,96.0,10.0,9.0,10.0,10.0,10.0,10.0,120.0,1
t,moderate,f,2,South of Market,37.771159999999995,-122.42199,Apartment,Private room,2,1,1,1,Real Bed,2,151,99.0,10.0,10.0,10.0,10.0,10.0,10.0,160.0,1
t,strict_14_with_grace_period,t,1,Western Addition,37.771209999999996,-122.42833999999999,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,105,98.0,10.0,10.0,10.0,10.0,10.0,10.0,119.0,1
t,moderate,f,1,Nob Hill,37.79667,-122.41272,Apartment,Private room,1,1,1,1,Real Bed,30,166,89.0,9.0,9.0,9.0,9.0,9.0,9.0,99.0,0
t,strict_14_with_grace_period,f,3,Bernal Heights,37.73878,-122.41188999999999,House,Private room,2,1,1,1,Real Bed,3,125,97.0,10.0,10.0,10.0,10.0,10.0,10.0,90.0,1
f,strict_14_with_grace_period,t,1,Financial District,3.7793300000000003,-122.40078999999999,Condominium,Entire home/apt,2,1,1,1,Real Bed,30,17,89.0,10.0,9.0,9.0,10.0,10.0,10.0,200.0,1
t,strict_14_with_grace_period,f,4,Outer Richmond,37.77959,-122.48619,Apartment,Entire home/apt,4,1,1,2,Real Bed,30,10,94.0,10.0,10.0,10.0,10.0,9.0,10.0,116.0,1
t,strict_14_with_grace_period,f,4,Twin Peaks,37.74889,-122.44479,Apartment,Entire home/apt,4,1,1,2,Real Bed,30,26,95.0,10.0,10.0,10.0,10.0,9.0,9.0,116.0,1
t,moderate,f,9,Pacific Heights,37.792159999999996,-122.42458,Apartment,Private room,1,1,1,1,Real Bed,30,120,92.0,9.0,8.0,10.0,10.0,10.0,9.0,55.0,1
f,strict_14_with_grace_period,t,2,Downtown/Civic Center,37.78816,-122.41722,Apartment,Entire home/apt,4,1,2,2,Real Bed,3,82,96.0,10.0,9.0,10.0,10.0,9.0,10.0,187.0,1
f,moderate,f,1,Haight Ashbury,37.77459,-122.43923000000001,Apartment,Entire home/apt,5,2,2,3,Real Bed,31,152,99.0,10.0,10.0,10.0,10.0,10.0,10.0,200.0,1
f,strict_14_with_grace_period,f,1,Bernal Heights,3.77472,-122.41443000000001,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,213,92.0,10.0,9.0,10.0,9.0,9.0,9.0,175.0,1
f,strict_14_with_grace_period,t,4,Mission,37.75762,-122.41933,Apartment,Private room,1,1,1,1,Real Bed,2,108,94.0,9.0,9.0,10.0,9.0,10.0,9.0,99.0,1
f,moderate,t,4,Russian Hill,3.78031,-122.41596000000001,Condominium,Private room,4,2,1,1,Real Bed,2,220,96.0,10.0,10.0,10.0,10.0,10.0,10.0,109.0,1
t,flexible,t,1,Bernal Heights,37.742090000000005,-122.41408999999999,Cottage,Private room,2,1,1,1,Futon,2,185,98.0,10.0,10.0,10.0,10.0,10.0,10.0,150.0,1
f,strict_14_with_grace_period,f,1,Outer Sunset,37.75674,-122.49178,House,Private room,2,1,1,1,Real Bed,60,1,20.0,10.0,10.0,10.0,2.0,10.0,10.0,100.0,0
t,moderate,t,2,North Beach,37.802409999999995,-122.40925,Condominium,Private room,2,1,1,1,Real Bed,2,194,98.0,10.0,10.0,10.0,10.0,10.0,10.0,150.0,1
t,moderate,f,2,Glen Park,37.74183,-122.42993,Apartment,Private room,1,1,1,1,Real Bed,3,35,97.0,10.0,10.0,10.0,10.0,10.0,10.0,85.0,1
t,strict_14_with_grace_period,t,4,Mission,37.74926,-122.41398000000001,Guest suite,Entire home/apt,2,1,1,1,Real Bed,2,295,93.0,10.0,10.0,10.0,10.0,10.0,9.0,166.0,1
f,strict_14_with_grace_period,t,4,Mission,0.37754,-122.41771000000001,Guest suite,Entire home/apt,2,1,1,1,Real Bed,2,210,93.0,9.0,9.0,10.0,10.0,10.0,9.0,125.0,1
t,flexible,f,1,Marina,37.80317,-122.42873999999999,Apartment,Private room,2,2,1,1,Real Bed,30,65,99.0,10.0,10.0,10.0,10.0,10.0,9.0,90.0,1
f,strict_14_with_grace_period,f,1,Inner Richmond,37.77798,-122.47811999999999,Apartment,Entire home/apt,2,1,0,1,Real Bed,30,96,83.0,9.0,9.0,10.0,9.0,9.0,8.0,95.0,0
f,super_strict_30,f,35,Outer Richmond,37.777190000000004,-122.50906,Apartment,Entire home/apt,6,2,3,4,Real Bed,30,12,96.0,9.0,10.0,10.0,10.0,9.0,9.0,216.0,1
t,strict_14_with_grace_period,t,7,Mission,37.754259999999995,-122.42387,Apartment,Entire home/apt,2,1,1,1,Real Bed,31,35,99.0,10.0,10.0,10.0,10.0,10.0,9.0,326.0,1
t,moderate,f,1,Inner Richmond,37.77442,-122.46319,House,Entire home/apt,2,1,2,2,Real Bed,30,50,98.0,10.0,10.0,10.0,10.0,10.0,9.0,80.0,1
f,strict_14_with_grace_period,f,41,Excelsior,37.730270000000004,-122.42643999999999,House,Private room,2,1,1,1,Real Bed,30,39,91.0,9.0,9.0,10.0,9.0,9.0,9.0,46.0,0
f,strict_14_with_grace_period,f,41,Excelsior,37.73128,-122.42478,House,Private room,2,1,1,1,Real Bed,30,26,82.0,8.0,8.0,8.0,9.0,8.0,8.0,40.0,0
f,super_strict_30,f,35,Seacliff,37.77707,-122.50923,Apartment,Entire home/apt,4,2,3,3,Real Bed,30,7,93.0,9.0,8.0,9.0,9.0,9.0,8.0,185.0,0
f,strict_14_with_grace_period,f,2,Bernal Heights,37.74527,-122.42424,Apartment,Entire home/apt,3,1,1,1,Real Bed,31,10,98.0,10.0,10.0,10.0,10.0,10.0,10.0,108.0,1
f,strict_14_with_grace_period,f,20,Chinatown,37.79364,-122.40635,House,Shared room,1,2,1,2,Real Bed,30,12,92.0,9.0,8.0,9.0,9.0,9.0,9.0,30.0,0
t,flexible,f,1,Bernal Heights,37.745779999999996,-122.40841,Guest suite,Private room,2,1,1,1,Real Bed,3,112,98.0,10.0,10.0,10.0,10.0,10.0,10.0,109.0,1
