host_is_superhost,cancellation_policy,instant_bookable,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price,cluster
t,moderate,f,1,North Beach,37.80153,-12.24094,Apartment,Entire home/apt,6,1,2,2,Real Bed,30,175,99.0,10.0,10.0,10.0,10.0,10.0,10.0,185.0,1
f,strict_14_with_grace_period,f,2,Haight Ashbury,37.76739,-12.24493,Condominium,Entire home/apt,2,1,1,1,Real Bed,30,111,94.0,9.0,10.0,10.0,10.0,10.0,9.0,295.0,1
t,flexible,f,3,South of Market,37.77778,-12.23975,Condominium,Entire home/apt,4,2,2,2,Real Bed,2,12,96.0,10.0,9.0,9.0,10.0,9.0,10.0,250.0,1
f,flexible,t,20,Financial District,37.79421,-12.240310000000001,Hostel,Shared room,3,1,1,3,Real Bed,1,172,94.0,10.0,9.0,10.0,10.0,10.0,10.0,45.0,1
f,strict_14_with_grace_period,f,2,Inner Sunset,37.75942,-12.24677,Bungalow,Entire home/apt,2,1,1,1,Real Bed,30,11,88.0,9.0,8.0,10.0,9.0,10.0,8.0,104.0,1
f,moderate,f,3,Crocker Amazon,37.70978,-12.24308,House,Private room,2,2,3,1,Real Bed,3,217,88.0,9.0,9.0,9.0,9.0,8.0,9.0,69.0,0
t,strict_14_with_grace_period,f,2,Mission,37.762209999999996,-12.24199,Condominium,Private room,1,1,1,1,Real Bed,1,88,100.0,10.0,10.0,10.0,10.0,10.0,10.0,168.0,1
t,moderate,f,2,Mission,3.77665,-12.24183,Townhouse,Entire home/apt,4,1,2,2,Real Bed,5,30,99.0,10.0,10.0,10.0,10.0,9.0,10.0,549.0,1
t,moderate,f,1,Inner Sunset,37.76464,-12.246780000000001,Apartment,Entire home/apt,4,1,2,2,Real Bed,30,219,97.0,10.0,10.0,10.0,10.0,10.0,10.0,190.0,1
t,moderate,t,6,Bernal Heights,37.74446,-12.24085,House,Entire home/apt,10,2,4,7,Real Bed,2,22,99.0,10.0,10.0,10.0,10.0,10.0,9.0,859.0,1
f,moderate,f,2,Pacific Heights,37.79177,-12.243269999999999,House,Entire home/apt,6,2,3,3,Real Bed,5,8,100.0,10.0,10.0,10.0,10.0,10.0,9.0,890.0,1
f,moderate,f,1,Russian Hill,37.79844,-12.24105,Apartment,Private room,1,1,1,1,Real Bed,30,105,92.0,9.0,9.0,10.0,10.0,9.0,9.0,99.0,1
f,flexible,f,1,Western Addition,37.78694,-12.24357,Apartment,Entire home/apt,2,1,0,1,Real Bed,30,0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,135.0,1
t,moderate,f,2,Castro/Upper Market,37.75855,-12.244530000000001,House,Private room,2,1,1,1,Real Bed,1,487,99.0,10.0,10.0,10.0,10.0,10.0,10.0,111.0,1
t,moderate,f,41,Downtown/Civic Center,37.77632,-1.22422,Condominium,Entire home/apt,4,2,3,3,Real Bed,30,4,100.0,10.0,10.0,10.0,10.0,10.0,10.0,255.0,1
f,strict_14_with_grace_period,f,2,South of Market,37.77807,-12.241010000000001,Loft,Entire home/apt,4,2,2,2,Real Bed,1,60,98.0,10.0,10.0,10.0,10.0,9.0,9.0,595.0,1
f,strict_14_with_grace_period,f,2,Mission,37.755990000000004,-12.24222,Apartment,Entire home/apt,4,1,2,4,Real Bed,3,25,98.0,10.0,10.0,10.0,10.0,10.0,10.0,225.0,1
f,strict_14_with_grace_period,f,2,Presidio Heights,37.784909999999996,-12.24581,Apartment,Entire home/apt,8,1,3,3,Real Bed,2,11,96.0,10.0,10.0,9.0,10.0,10.0,9.0,1500.0,1
t,strict_14_with_grace_period,f,2,Castro/Upper Market,37.760870000000004,-12.24414,Apartment,Entire home/apt,8,2,3,6,Real Bed,3,100,97.0,10.0,10.0,10.0,10.0,10.0,9.0,525.0,1
f,strict_14_with_grace_period,f,1,South of Market,37.77782,-12.23968,Apartment,Entire home/apt,2,1,1,0,Real Bed,180,55,98.0,10.0,10.0,10.0,10.0,10.0,9.0,217.0,1
f,strict_14_with_grace_period,f,14,Western Addition,37.77871,-12.24372,Apartment,Private room,2,1,1,1,Real Bed,30,13,75.0,7.0,7.0,9.0,9.0,9.0,7.0,50.0,0
f,moderate,f,1,Russian Hill,37.79769,-12.24227,Apartment,Entire home/apt,4,2,2,2,Real Bed,30,6,100.0,10.0,10.0,10.0,10.0,10.0,10.0,185.0,1
t,strict_14_with_grace_period,f,2,Potrero Hill,37.762440000000005,-12.239460000000001,House,Entire home/apt,6,2,3,3,Real Bed,2,62,97.0,10.0,9.0,10.0,10.0,10.0,9.0,500.0,1
f,strict_14_with_grace_period,f,11,Financial District,0.37787,-12.23971,Serviced apartment,Entire home/apt,2,1,1,1,Real Bed,30,3,100.0,10.0,10.0,9.0,10.0,10.0,8.0,173.0,1
